Week,Award,Winner,Players,Total Points
1,Highest Total Points,MS,,175.78
2,Top WR (1),TM,Marvin Harrison Jr. (WR: 30.0),30.0
3,Top QB (1),MS,Josh Allen (QB: 30.92),30.92
4,Top RB (1),CC,Derrick Henry (RB: 37.4),37.4
5,Highest Total Points,DP,,178.48
6,Top Overall Player,CC,Chris Godwin (WR: 33.0),33.0
7,Top WR (2),MC,Amon-Ra St. Brown (WR: 21.2); Stefon Diggs (WR: 4.8),26.0
8,Top RB (2),TM,Jahmyr Gibbs (RB: 22.8); D'Andre Swift (RB: 21.9),44.7
9,Highest Total Points,MS,,156.78
10,Top QB & WR Combo,MD,Aaron Rodgers (QB: 4.04); Ja'Marr Chase (WR: 55.9),59.94
11,Top D/ST (1),MD,Texans D/ST (D/ST: 17.0),17.0
13,Highest Total Points,RP,,148.5
14,Top K (1),dk,Jason Sanders (K: 16.0),16.0
